age_group,broad_area,amount
10-14,Hospitals,232055.02922594844
10-14,Primary health care,633021.3194174622
10-14,Referred medical services,58953.788297655134
15-19,Hospitals,7855961.11111728
15-19,Primary health care,562152.0599388564
15-19,Referred medical services,551118.1904441464
20-24,Hospitals,25079944.834287226
20-24,Primary health care,944352.7263571227
20-24,Referred medical services,900228.292967241
25-29,Hospitals,31126814.652741157
25-29,Primary health care,1610059.91984605
25-29,Referred medical services,2464326.3440176225
30-34,Hospitals,38478431.46923985
30-34,Primary health care,2275079.322225919
30-34,Referred medical services,5331470.850869367
35-39,Hospitals,39730547.01630886
35-39,Primary health care,2481828.3791749477
35-39,Referred medical services,7231973.3662454765
40-44,Hospitals,32678706.002515778
40-44,Primary health care,2567272.816283807
40-44,Referred medical services,3046239.429467627
45-49,Hospitals,22590279.67910937
45-49,Primary health care,782916.9072195797
45-49,Referred medical services,698136.2302079224
50-54,Hospitals,9262451.979089089
50-54,Primary health care,542188.8136408007
50-54,Referred medical services,556908.1213686994
55-59,Hospitals,2208866.206251497
55-59,Primary health care,24127.108412323203
55-59,Referred medical services,40558.58470257154
60-64,Hospitals,1136315.0032426075
60-64,Primary health care,21633.174532816134
60-64,Referred medical services,41959.36540045245
65-69,Hospitals,867009.296875593
65-69,Primary health care,30785.747274840767
65-69,Referred medical services,58783.73772534935
70-74,Hospitals,677983.2517718223
70-74,Primary health care,32218.148913863257
70-74,Referred medical services,59518.1720897477
75-79,Hospitals,286886.2103538693
75-79,Primary health care,23354.38289887577
75-79,Referred medical services,37330.84883355695
80-84,Hospitals,134424.2869307782
80-84,Primary health care,19211.685370272513
80-84,Referred medical services,25670.775074129866
85+,Hospitals,25069.463641811173
